name,nameFull,class,pond,date,depth,freq,Name,
3494A.tif,4 (90 images)\PondG1G2 2010 (7 images)\3494A.tif,4,G1G2,03-30-10,80 mm,8 MHz,0067_4.png,4
516.tif,4 (90 images)\PondG1G2 2010 (7 images)\516.tif,4,G1G2,03-30-10,80 mm,8 MHz,0068_4.png,4
5233A.tif,4 (90 images)\PondG1G2 2010 (7 images)\5233A.tif,4,G1G2,03-30-10,80 mm,8 MHz,0069_4.png,4
525.tif,4 (90 images)\PondG1G2 2010 (7 images)\525.tif,4,G1G2,03-30-10,80 mm,8 MHz,0070_4.png,4
541.tif,4 (90 images)\PondG1G2 2010 (7 images)\541.tif,4,G1G2,03-30-10,80 mm,8 MHz,0071_4.png,4
9250A.tif,4 (90 images)\PondG1G2 2010 (7 images)\9250A.tif,4,G1G2,03-30-10,80 mm,8 MHz,0072_4.png,4
751_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\751_4.tif,4,R2R3,05-17-10,80 mm,5 MHz,0073_4.png,4
757_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\757_4.tif,4,R2R3,05-17-10,80 mm,5 MHz,0074_4.png,4
760_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\760_4.tif,4,R2R3,05-17-10,80 mm,5 MHz,0075_4.png,4
782_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\782_4.tif,4,R2R3,05-17-10,80 mm,5 MHz,0076_4.png,4
786_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\786_4.tif,4,R2R3,05-17-10,80 mm,5 MHz,0077_4.png,4
806_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\806_4.tif,4,R2R3,NA,80 mm,5 MHz,0078_4.png,4
918_4.tif,4 (90 images)\PondR2R3 2010 (7 images)\918_4.tif,4,R2R3,NA,80 mm,5 MHz,0079_4.png,4
601_5.tif,5 (190 images)\PondB9 2010 (14 images)\601_5.tif,5,B9,05-06-10,80 mm,5 MHz,0080_5.png,5
620_5.tif,5 (190 images)\PondB9 2010 (14 images)\620_5.tif,5,B9,05-06-10,80 mm,5 MHz,0081_5.png,5
625_5.tif,5 (190 images)\PondB9 2010 (14 images)\625_5.tif,5,B9,05-06-10,80 mm,5 MHz,0082_5.png,5
628_5.tif,5 (190 images)\PondB9 2010 (14 images)\628_5.tif,5,B9,05-06-10,80 mm,5 MHz,0083_5.png,5
629_5.tif,5 (190 images)\PondB9 2010 (14 images)\629_5.tif,5,B9,05-06-10,80 mm,5 MHz,0084_5.png,5
631_5.tif,5 (190 images)\PondB9 2010 (14 images)\631_5.tif,5,B9,05-06-10,80 mm,5 MHz,0085_5.png,5
642_5.tif,5 (190 images)\PondB9 2010 (14 images)\642_5.tif,5,B9,05-06-10,80 mm,5 MHz,0086_5.png,5
648_5.tif,5 (190 images)\PondB9 2010 (14 images)\648_5.tif,5,B9,05-06-10,80 mm,5 MHz,0087_5.png,5
651_5.tif,5 (190 images)\PondB9 2010 (14 images)\651_5.tif,5,B9,05-06-10,80 mm,5 MHz,0088_5.png,5
652_5.tif,5 (190 images)\PondB9 2010 (14 images)\652_5.tif,5,B9,05-06-10,80 mm,5 MHz,0089_5.png,5
656_5.tif,5 (190 images)\PondB9 2010 (14 images)\656_5.tif,5,B9,05-06-10,80 mm,5 MHz,0090_5.png,5
663_5.tif,5 (190 images)\PondB9 2010 (14 images)\663_5.tif,5,B9,05-06-10,80 mm,5 MHz,0091_5.png,5
773_5.tif,5 (190 images)\PondB9 2010 (14 images)\773_5.tif,5,B9,05-06-10,80 mm,5 MHz,0092_5.png,5
775_5.tif,5 (190 images)\PondB9 2010 (14 images)\775_5.tif,5,B9,05-06-10,80 mm,5 MHz,0093_5.png,5
102.tif,5 (190 images)\PondG1G2 2010 (10 images)\102.tif,5,G1G2,03-30-10,80 mm,8 MHz,0094_5.png,5
5216A.tif,5 (190 images)\PondG1G2 2010 (10 images)\5216A.tif,5,G1G2,03-30-10,80 mm,8 MHz,0095_5.png,5
529.tif,5 (190 images)\PondG1G2 2010 (10 images)\529.tif,5,G1G2,03-30-10,80 mm,8 MHz,0096_5.png,5
530.tif,5 (190 images)\PondG1G2 2010 (10 images)\530.tif,5,G1G2,03-30-10,80 mm,8 MHz,0097_5.png,5
537.tif,5 (190 images)\PondG1G2 2010 (10 images)\537.tif,5,G1G2,03-30-10,80 mm,8 MHz,0098_5.png,5
539.tif,5 (190 images)\PondG1G2 2010 (10 images)\539.tif,5,G1G2,03-30-10,80 mm,8 MHz,0099_5.png,5
8111A.tif,5 (190 images)\PondG1G2 2010 (10 images)\8111A.tif,5,G1G2,03-30-10,80 mm,8 MHz,0100_5.png,5
8366A.tif,5 (190 images)\PondG1G2 2010 (10 images)\8366A.tif,5,G1G2,03-30-10,80 mm,8 MHz,0101_5.png,5
8556A.tif,5 (190 images)\PondG1G2 2010 (10 images)\8556A.tif,5,G1G2,03-30-10,80 mm,8 MHz,0102_5.png,5
8657A.tif,5 (190 images)\PondG1G2 2010 (10 images)\8657A.tif,5,G1G2,03-30-10,80 mm,8 MHz,0103_5.png,5
793_5.tif,5 (190 images)\PondG1-May 2010 (3 images)\793_5.tif,5,G1-May,05-17-10,80 mm,5 MHz,0104_5.png,5
796_5.tif,5 (190 images)\PondG1-May 2010 (3 images)\796_5.tif,5,G1-May,05-17-10,80 mm,5 MHz,0105_5.png,5
797_5.tif,5 (190 images)\PondG1-May 2010 (3 images)\797_5.tif,5,G1-May,05-17-10,80 mm,5 MHz,0106_5.png,5
752_5_2.tif,5 (190 images)\PondR2R3 2010 (15 images)\752_5_2.tif,5,R2R3,05-17-10,80 mm,5 MHz,0107_5.png,5
752_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\752_5.tif,5,R2R3,05-17-10,80 mm,5 MHz,0108_5.png,5
762_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\762_5.tif,5,R2R3,05-17-10,80 mm,5 MHz,0109_5.png,5
779_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\779_5.tif,5,R2R3,05-17-10,80 mm,5 MHz,0110_5.png,5
803_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\803_5.tif,5,R2R3,NA,80 mm,5 MHz,0111_5.png,5
901_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\901_5.tif,5,R2R3,NA,80 mm,5 MHz,0112_5.png,5
902_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\902_5.tif,5,R2R3,NA,80 mm,5 MHz,0113_5.png,5
905_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\905_5.tif,5,R2R3,NA,80 mm,5 MHz,0114_5.png,5
907_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\907_5.tif,5,R2R3,NA,80 mm,5 MHz,0115_5.png,5
908_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\908_5.tif,5,R2R3,NA,80 mm,5 MHz,0116_5.png,5
911_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\911_5.tif,5,R2R3,NA,80 mm,5 MHz,0117_5.png,5
912_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\912_5.tif,5,R2R3,NA,80 mm,5 MHz,0118_5.png,5
915_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\915_5.tif,5,R2R3,NA,80 mm,5 MHz,0119_5.png,5
916_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\916_5.tif,5,R2R3,NA,80 mm,5 MHz,0120_5.png,5
920_5.tif,5 (190 images)\PondR2R3 2010 (15 images)\920_5.tif,5,R2R3,NA,80 mm,5 MHz,0121_5.png,5
604_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\604_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0122_6.png,6
606_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\606_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0123_6.png,6
607_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\607_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0124_6.png,6
616_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\616_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0125_6.png,6
618_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\618_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0126_6.png,6
627_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\627_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0127_6.png,6
640_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\640_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0128_6.png,6
659_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\659_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0129_6.png,6
665_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\665_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0130_6.png,6
769_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\769_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0131_6.png,6
772_spawned.tif,6 (25 images)\PondB9 2010 (11 images)\772_spawned.tif,6,B9,05-06-10,80 mm,5 MHz,0132_6.png,6
788_spawned.tif,6 (25 images)\PondG1 2010 (4 images)\788_spawned.tif,6,G1,05-17-10,80 mm,5 MHz,0133_6.png,6
792_spawned.tif,6 (25 images)\PondG1 2010 (4 images)\792_spawned.tif,6,G1,05-17-10,80 mm,5 MHz,0134_6.png,6
799_spawned.tif,6 (25 images)\PondG1 2010 (4 images)\799_spawned.tif,6,G1,05-17-10,80 mm,5 MHz,0135_6.png,6
987_spawned.tif,6 (25 images)\PondG1 2010 (4 images)\987_spawned.tif,6,G1,05-17-10,80 mm,5 MHz,0136_6.png,6
755_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\755_spawned.tif,6,R2R3,05-17-10,80 mm,5 MHz,0137_6.png,6
758_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\758_spawned.tif,6,R2R3,05-17-10,80 mm,5 MHz,0138_6.png,6
776_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\776_spawned.tif,6,R2R3,05-17-10,80 mm,5 MHz,0139_6.png,6
781.tif,6 (25 images)\PondR2R3 2010 (8 images)\781.tif,6,R2R3,05-17-10,80 mm,5 MHz,0140_6.png,6
783_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\783_spawned.tif,6,R2R3,05-17-10,80 mm,5 MHz,0141_6.png,6
785_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\785_spawned.tif,6,R2R3,05-17-10,80 mm,5 MHz,0142_6.png,6
910_spawned.tif,6 (25 images)\PondR2R3 2010 (8 images)\910_spawned.tif,6,R2R3,NA,80 mm,5 MHz,0143_6.png,6
922_spswned.tif,6 (25 images)\PondR2R3 2010 (8 images)\922_spswned.tif,6,R2R3,NA,80 mm,5 MHz,0144_6.png,6
617_6 relesing.tif,7 (73 images)\PondB9 2010 (7 images)\617_6 relesing.tif,7,B9,05-06-10,80 mm,5 MHz,0145_7.png,7
626_releasing eggs.tif,7 (73 images)\PondB9 2010 (7 images)\626_releasing eggs.tif,7,B9,05-06-10,80 mm,5 MHz,0146_7.png,7
633_6 not releasing.tif,7 (73 images)\PondB9 2010 (7 images)\633_6 not releasing.tif,7,B9,05-06-10,80 mm,5 MHz,0147_7.png,7
638_releasing eggs.tif,7 (73 images)\PondB9 2010 (7 images)\638_releasing eggs.tif,7,B9,05-06-10,80 mm,5 MHz,0148_7.png,7
646_releasing eggs 6.tif,7 (73 images)\PondB9 2010 (7 images)\646_releasing eggs 6.tif,7,B9,05-06-10,80 mm,5 MHz,0149_7.png,7
662_regressing.tif,7 (73 images)\PondB9 2010 (7 images)\662_regressing.tif,7,B9,05-06-10,80 mm,5 MHz,0150_7.png,7
774_6 releasing.tif,7 (73 images)\PondB9 2010 (7 images)\774_6 releasing.tif,7,B9,05-06-10,80 mm,5 MHz,0151_7.png,7
114.tif,7 (73 images)\PondG1G2 2010 (24 images)\114.tif,7,G1G2,03-30-10,80 mm,8 MHz,0152_7.png,7
1361A.tif,7 (73 images)\PondG1G2 2010 (24 images)\1361A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0153_7.png,7
2137A.tif,7 (73 images)\PondG1G2 2010 (24 images)\2137A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0154_7.png,7
2515A.tif,7 (73 images)\PondG1G2 2010 (24 images)\2515A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0155_7.png,7
314.tif,7 (73 images)\PondG1G2 2010 (24 images)\314.tif,7,G1G2,03-30-10,80 mm,8 MHz,0156_7.png,7
397.tif,7 (73 images)\PondG1G2 2010 (24 images)\397.tif,7,G1G2,03-30-10,80 mm,8 MHz,0157_7.png,7
4560A.tif,7 (73 images)\PondG1G2 2010 (24 images)\4560A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0158_7.png,7
4680A.tif,7 (73 images)\PondG1G2 2010 (24 images)\4680A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0159_7.png,7
503.tif,7 (73 images)\PondG1G2 2010 (24 images)\503.tif,7,G1G2,03-30-10,80 mm,8 MHz,0160_7.png,7
510.tif,7 (73 images)\PondG1G2 2010 (24 images)\510.tif,7,G1G2,03-30-10,80 mm,8 MHz,0161_7.png,7
518.tif,7 (73 images)\PondG1G2 2010 (24 images)\518.tif,7,G1G2,03-30-10,80 mm,8 MHz,0162_7.png,7
523.tif,7 (73 images)\PondG1G2 2010 (24 images)\523.tif,7,G1G2,03-30-10,80 mm,8 MHz,0163_7.png,7
5337A.tif,7 (73 images)\PondG1G2 2010 (24 images)\5337A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0164_7.png,7
542.tif,7 (73 images)\PondG1G2 2010 (24 images)\542.tif,7,G1G2,03-30-10,80 mm,8 MHz,0165_7.png,7
544.tif,7 (73 images)\PondG1G2 2010 (24 images)\544.tif,7,G1G2,03-30-10,80 mm,8 MHz,0166_7.png,7
545.tif,7 (73 images)\PondG1G2 2010 (24 images)\545.tif,7,G1G2,03-30-10,80 mm,8 MHz,0167_7.png,7
546.tif,7 (73 images)\PondG1G2 2010 (24 images)\546.tif,7,G1G2,03-30-10,80 mm,8 MHz,0168_7.png,7
5631A.tif,7 (73 images)\PondG1G2 2010 (24 images)\5631A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0169_7.png,7
8656A.tif,7 (73 images)\PondG1G2 2010 (24 images)\8656A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0170_7.png,7
9290A.tif,7 (73 images)\PondG1G2 2010 (24 images)\9290A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0171_7.png,7
9351A.tif,7 (73 images)\PondG1G2 2010 (24 images)\9351A.tif,7,G1G2,03-30-10,80 mm,8 MHz,0172_7.png,7
BARBAL10.tif,7 (73 images)\PondG1G2 2010 (24 images)\BARBAL10.tif,7,G1G2,03-30-10,80 mm,8 MHz,0173_7.png,7
BARBAL20.tif,7 (73 images)\PondG1G2 2010 (24 images)\BARBAL20.tif,7,G1G2,03-30-10,80 mm,8 MHz,0174_7.png,7
XXXX.tif,7 (73 images)\PondG1G2 2010 (24 images)\XXXX.tif,7,G1G2,03-30-10,80 mm,8 MHz,0175_7.png,7
795_6.tif,7 (73 images)\PondG1 May (8 images)\795_6.tif,7,G1,05-17-10,80 mm,5 MHz,0176_7.png,7
798_6.tif,7 (73 images)\PondG1 May (8 images)\798_6.tif,7,G1,05-17-10,80 mm,5 MHz,0177_7.png,7
800_6.tif,7 (73 images)\PondG1 May (8 images)\800_6.tif,7,G1,05-17-10,80 mm,5 MHz,0178_7.png,7
976_6.tif,7 (73 images)\PondG1 May (8 images)\976_6.tif,7,G1,05-17-10,80 mm,5 MHz,0179_7.png,7
978_6.tif,7 (73 images)\PondG1 May (8 images)\978_6.tif,7,G1,05-17-10,80 mm,5 MHz,0180_7.png,7
980_6.tif,7 (73 images)\PondG1 May (8 images)\980_6.tif,7,G1,05-17-10,80 mm,5 MHz,0181_7.png,7
982_6.tif,7 (73 images)\PondG1 May (8 images)\982_6.tif,7,G1,05-17-10,80 mm,5 MHz,0182_7.png,7
984_3.tif,7 (73 images)\PondG1 May (8 images)\984_3.tif,7,G1,05-17-10,80 mm,5 MHz,0183_7.png,7
754.tif,7 (73 images)\PondR2R3 2010 (14 images)\754.tif,7,R2R3,05-17-10,80 mm,5 MHz,0184_7.png,7
763.tif,7 (73 images)\PondR2R3 2010 (14 images)\763.tif,7,R2R3,05-17-10,80 mm,5 MHz,0185_7.png,7
764.tif,7 (73 images)\PondR2R3 2010 (14 images)\764.tif,7,R2R3,05-17-10,80 mm,5 MHz,0186_7.png,7
765_6_pic3.tif,7 (73 images)\PondR2R3 2010 (14 images)\765_6_pic3.tif,7,R2R3,05-17-10,80 mm,5 MHz,0187_7.png,7
765_pic2.tif,7 (73 images)\PondR2R3 2010 (14 images)\765_pic2.tif,7,R2R3,05-17-10,95 mm,5 MHz,0188_7.png,7
765.tif,7 (73 images)\PondR2R3 2010 (14 images)\765.tif,7,R2R3,05-17-10,80 mm,5 MHz,0189_7.png,7
766.tif,7 (73 images)\PondR2R3 2010 (14 images)\766.tif,7,R2R3,05-17-10,80 mm,5 MHz,0190_7.png,7
804.tif,7 (73 images)\PondR2R3 2010 (14 images)\804.tif,7,R2R3,NA,80 mm,5 MHz,0191_7.png,7
914_regressing.tif,7 (73 images)\PondR2R3 2010 (14 images)\914_regressing.tif,7,R2R3,NA,80 mm,5 MHz,0192_7.png,7
919_regressing.tif,7 (73 images)\PondR2R3 2010 (14 images)\919_regressing.tif,7,R2R3,NA,80 mm,5 MHz,0193_7.png,7
921_regessed.tif,7 (73 images)\PondR2R3 2010 (14 images)\921_regessed.tif,7,R2R3,NA,80 mm,5 MHz,0194_7.png,7
923.tif,7 (73 images)\PondR2R3 2010 (14 images)\923.tif,7,R2R3,05-17-10,80 mm,5 MHz,0195_7.png,7
924.tif,7 (73 images)\PondR2R3 2010 (14 images)\924.tif,7,R2R3,05-17-10,80 mm,5 MHz,0196_7.png,7
925.tif,7 (73 images)\PondR2R3 2010 (14 images)\925.tif,7,R2R3,05-17-10,80 mm,5 MHz,0197_7.png,7
573.tif,Ask\2\573.tif,2,NA,03-25-10,80 mm,8 MHz,0198_2.png,2
604_spawned.tif,Ask\6\604_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0199_6.png,6
606_spawned.tif,Ask\6\606_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0200_6.png,6
607_spawned.tif,Ask\6\607_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0201_6.png,6
616_spawned.tif,Ask\6\616_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0202_6.png,6
618_spawned.tif,Ask\6\618_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0203_6.png,6
627_spawned.tif,Ask\6\627_spawned.tif,6,NA,05-06-10,80 mm,5 MHz,0204_6.png,6
